"createDt","deathCnt","defCnt","gubun","gubunCn","gubunEn","incDec","isolClearCnt","isolIngCnt","localOccCnt","overFlowCnt","qurRate","seq","stdDay","updateDt"
2020-12-22,"17","568","울산","蔚山","Ulsan","6","299","252","6","0","49.52","6494","2020년 12월 22일 00시","null"
2020-12-22,"6","708","대전","大田","Daejeon","9","577","125","9","0","48.03","6493","2020년 12월 22일 00시","null"
2020-12-22,"3","905","광주","光州","Gwangju","26","755","147","26","0","62.13","6492","2020년 12월 22일 00시","null"
2020-12-22,"19","2381","인천","仁川","Incheon","45","1617","745","44","1","80.54","6491","2020년 12월 22일 00시","null"
2020-12-22,"200","7557","대구","大邱","Daegu","39","7098","259","39","0","310.16","6490","2020년 12월 22일 00시","null"
2020-12-22,"28","1539","부산","釜山","Busan","26","1039","472","26","0","45.11","6489","2020년 12월 22일 00시","null"
2020-12-22,"144","15356","서울","首<U+5C14>","Seoul","317","8562","6650","309","8","157.76","6488","2020년 12월 22일 00시","null"
2020-12-22,"722","51460","합계","合<U+8BA1>","Total","869","35928","14810","824","45","99.25","6487","2020년 12월 22일 00시","null"
2020-12-22,"1","2361","검역","隔離區","Lazaretto","18","1658","702","0","18","-","6486","2020년 12월 22일 00시","null"
2020-12-22,"0","271","제주","<U+6D4E>州","Jeju","19","103","168","19","0","18.93","6485","2020년 12월 22일 00시","null"
2020-12-22,"3","1095","경남","<U+5E86>南","Gyeongsangnam-do","18","768","324","18","0","26.36","6484","2020년 12월 22일 00시","null"
2020-12-22,"61","2094","경북","<U+5E86>北","Gyeongsangbuk-do","59","1721","312","58","1","70.05","6483","2020년 12월 22일 00시","null"
2020-12-22,"5","513","전남","全南","Jeollanam-do","5","425","83","4","1","25.79","6482","2020년 12월 22일 00시","null"
2020-12-22,"7","692","전북","全北","Jeollabuk-do","4","452","233","4","0","28.67","6481","2020년 12월 22일 00시","null"
2020-12-22,"19","1305","충남","忠南","Chungcheongnam-do","17","974","312","15","2","54.47","6480","2020년 12월 22일 00시","null"
2020-12-22,"15","834","충북","忠北","Chungcheongbuk-do","31","441","378","30","1","36.26","6479","2020년 12월 22일 00시","null"
2020-12-22,"13","999","강원","江原","Gangwon-do","23","709","277","23","0","54.14","6478","2020년 12월 22일 00시","null"
2020-12-22,"181","12152","경기","京畿","Gyeonggi-do","206","8608","3363","193","13","77.36","6477","2020년 12월 22일 00시","null"
2020-12-22,"0","130","세종","世宗","Sejong","1","122","8","1","0","37.39","6476","2020년 12월 22일 00시","null"
2020-12-22,"17","568","울산","蔚山","Ulsan","6","299","252","6","0","42.11","6475","2020년 12월 22일 00시","null"
2020-12-22,"6","708","대전","大田","Daejeon","9","577","125","9","0","44.57","6474","2020년 12월 22일 00시","null"
2020-12-22,"3","905","광주","光州","Gwangju","26","755","147","26","0","56.77","6473","2020년 12월 22일 00시","null"
2020-12-22,"19","2381","인천","仁川","Incheon","45","1617","745","44","1","65.36","6472","2020년 12월 22일 00시","null"
2020-12-22,"200","7557","대구","大邱","Daegu","39","7098","259","39","0","303.06","6471","2020년 12월 22일 00시","null"
2020-12-22,"28","1539","부산","釜山","Busan","26","1039","472","26","0","38.01","6470","2020년 12월 22일 00시","null"
2020-12-22,"144","15356","서울","首<U+5C14>","Seoul","317","8562","6650","309","8","130.04","6469","2020년 12월 22일 00시","null"
2020-12-22,"722","51460","합계","合<U+8BA1>","Total","869","35928","14810","824","45","99.25","6468","2020년 12월 22일 00시","null"
2020-12-21,"1","2343","검역","隔離區","Lazaretto","10","1658","684","0","10","-","6467","2020년 12월 21일 00시","null"
2020-12-21,"0","252","제주","<U+6D4E>州","Jeju","23","102","150","23","0","37.57","6466","2020년 12월 21일 00시","2020-12-22 10:05:11.448"
2020-12-21,"3","1077","경남","<U+5E86>南","Gyeongsangnam-do","15","748","326","15","0","32.04","6465","2020년 12월 21일 00시","2020-12-22 10:04:55.979"
2020-12-21,"61","2035","경북","<U+5E86>北","Gyeongsangbuk-do","48","1715","259","48","0","76.43","6464","2020년 12월 21일 00시","2020-12-22 10:04:43.172"
2020-12-21,"5","508","전남","全南","Jeollanam-do","9","418","85","8","1","27.24","6463","2020년 12월 21일 00시","2020-12-22 10:04:33.521"
2020-12-21,"7","688","전북","全北","Jeollabuk-do","13","441","240","11","2","37.86","6462","2020년 12월 21일 00시","2020-12-22 10:04:22.884"
2020-12-21,"18","1288","충남","忠南","Chungcheongnam-do","16","950","320","16","0","60.68","6461","2020년 12월 21일 00시","2020-12-22 10:04:03.291"
2020-12-21,"13","803","충북","忠北","Chungcheongbuk-do","33","424","366","29","4","50.21","6460","2020년 12월 21일 00시","2020-12-22 10:03:51.422"
2020-12-21,"13","976","강원","江原","Gangwon-do","25","692","271","22","3","63.35","6459","2020년 12월 21일 00시","2020-12-22 10:03:41.57"
2020-12-21,"173","11946","경기","京畿","Gyeonggi-do","244","8235","3538","237","7","90.16","6458","2020년 12월 21일 00시","2020-12-22 10:03:30.397"
2020-12-21,"0","129","세종","世宗","Sejong","0","121","8","0","0","37.68","6457","2020년 12월 21일 00시","2020-12-22 10:03:19.26"
2020-12-21,"16","562","울산","蔚山","Ulsan","17","280","266","17","0","49","6456","2020년 12월 21일 00시","2020-12-22 10:03:06.839"
2020-12-21,"6","699","대전","大田","Daejeon","3","568","125","3","0","47.42","6455","2020년 12월 21일 00시","2020-12-22 10:02:54.46"
2020-12-21,"3","879","광주","光州","Gwangju","13","751","125","11","2","60.34","6454","2020년 12월 21일 00시","2020-12-22 10:02:44.167"
2020-12-21,"15","2336","인천","仁川","Incheon","88","1591","730","85","3","79.02","6453","2020년 12월 21일 00시","2020-12-22 10:02:32.864"
